,,,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,Rec-Normalized,Yds-Normalized,TD-Normalized,Ctch%-Normalized,Y/Tgt-Normalized
28,Antonio Gates,2003,2018,,SDG,NFL,236,190,1459,955,11841,12.40,116,50.2,65.5%,8.12,0.5115131578947368,0.3510625807209111,0.5317919075144508,0.07937944423988255,0.00011007221960630833
29,Don Maynard*,1958,1973,9-109,TOT,TOT,186,59,,633,11834,18.70,88,63.6,,,0.24671052631578946,0.3506516379006693,0.3699421965317919,0.7727466179543705,0.9040690030514466
30,Calvin Johnson,2007,2015,1-2,DET,NFL,135,130,1312,731,11619,15.89,83,86.1,55.7%,8.86,0.32730263157894735,0.33802982270752613,0.34104046242774566,0.06740587894930639,0.00016663711023732792
31,Muhsin Muhammad,1996,2009,2-43,TOT,NFL,202,188,1521,860,11438,13.30,62,56.6,56.5%,7.52,0.43338815789473684,0.3274040154984149,0.21965317919075145,0.0683833128505779,6.420879477034653e-05
32,Rod Smith,1995,2006,,DEN,NFL,183,158,1408,849,11389,13.41,68,62.2,60.3%,8.09,0.4243421052631579,0.32452741575672184,0.2543352601156069,0.07302612388161764,0.00010777904836451029
33,Keenan McCardell,1992,2007,12-326,TOT,NFL,209,168,1413,883,11373,12.88,63,54.4,62.5%,8.05,0.45230263157894735,0.3235881178818833,0.2254335260115607,0.07571406711011434,0.00010472148670877956
34,Antonio Brown,2010,2018,6-195,PIT,NFL,130,103,1275,837,11207,13.39,74,86.2,65.6%,8.79,0.4144736842105263,0.3138429024304332,0.28901734104046245,0.07950162347754149,0.00016128637733979902
35,Chad Johnson,2001,2011,2-36,TOT,NFL,166,135,1372,766,11059,14.44,67,66.6,55.8%,8.06,0.3560855263157895,0.3051543970881766,0.24855491329479767,0.06752805818696532,0.00010548587712271224
36,Joey Galloway,1995,2010,1-8,TOT,NFL,198,175,1444,701,10950,15.62,77,55.3,48.5%,7.58,0.3026315789473684,0.2987554303158389,0.3063583815028902,0.058608973837862656,6.879513725394276e-05
37,Roddy White,2005,2015,1-27,ATL,NFL,171,149,1377,808,10863,13.44,63,63.5,58.7%,7.89,0.390625,0.29364799812140424,0.2254335260115607,0.0710712560790746,9.249124008585633e-05
38,Gary Clark,1985,1995,2-55,TOT,NFL,167,119,409,699,10856,15.53,65,65.0,,,0.30098684210526316,0.2932370553011624,0.23699421965317918,0.0014401435029488187,0.0015182924195451242
39,Julio Jones,2011,2018,1-6,ATL,NFL,111,110,1095,698,10731,15.37,51,96.7,63.7%,9.80,0.3001644736842105,0.28589879065398616,0.15606936416184972,0.07718021796202162,0.00023848980914700153
